years,0, 1, 2, 3, 4, 5, 6, 7, 8, 9
sells,4533.333, 4533.333, 4533.333, 4533.333, 4533.333, 4533.333, 4533.333, 4533.333, 4533.333, 4533.333
costs,19000, 17000, 17000, 17000, 17000, 17000, 17000, 17000, 17000, 17000
utilities,226.667, 226.667, 226.667, 226.667, 226.667, 226.667, 226.667, 226.667, 226.667, 226.667
van,-9386.6665, -15248.484545454543, -16607.2603960396, -16756.576423576425, -16771.655834416557, -16773.165268347315, -16773.31622668377, -16773.331322666865, -16773.33283226667, -16773.332983226665, -158637.1223326784
