years,0, 1, 2, 3, 4, 5, 6, 7, 8, 9
sells,90000.0, 92700.0, 95400.0, 98100.0, 100800.0, 103500.0, 106200.0, 108900.0, 111600.0, 114300.0
utilities,4500.0, 4635.0, 4770.0, 4905.0, 5040.0, 5175.0, 5310.0, 5445.0, 5580.0, 5715.0
costs,9861, 7397, 7397, 7397, 7397, 7397, 7397, 7397, 7397, 7397
van,-5361.0, -2510.9090909090905, -2171.074380165289, -1872.2764838467313, -1609.8627142954713, -1379.6871798374423, -1178.0570920222328, -1001.6846467863389, -847.643909841085, -713.3321941025191, -18645.5276918062
