period,0,1,2,3,4,5,6,7,8,9,10,
products,3649215,3904660.0500000003,4177986.2535000006,4470445.291245,4783376.461632151,5118212.813946402,5476487.71092265,5859841.850687236,6270030.780235343,6708932.934851817,7178558.240291445,
clients,2432810,2588996.402,2756115.8521399996,2934933.6637897994,3126268.7222550856,3330997.234812942,3550056.743249848,3784450.4172773375,4035251.648486751,4303608.965880824,4590751.295492482,
ppc,1.5,1.5081751550460443,1.5158964563321904,1.5231844407251225,1.5300592772401653,1.5365406973187787,1.5426479369198134,1.5483996894066867,1.5538140682221517,1.5589085783677123,1.563700095742466,
sales,18246075,19523300.25,20889931.267500002,22352226.456225,23916882.308160756,25591064.06973201,27382438.55461325,29299209.253436178,31350153.901176713,33544664.674259085,35892791.201457225,
costs,17269180,18478022.754614998,19771484.347438052,21155488.251758713,22636372.42938183,24220918.499438558,25916382.794399258,27730529.590007205,29671666.66130771,31748683.327599254,33971091.1605312,
