period,0,1,2,3,4,5,6,7,8,9,10,
products,3649215,3831675.75,4023259.5375,4224422.514375,4435643.64009375,4657425.822098438,4890297.11320336,5134811.968863528,5391552.567306705,5661130.19567204,5944186.705455642,
clients,2432810,2547760.2725,2668458.058625,2795190.73405625,2928260.043259063,3067982.817922016,3214691.731318117,3368736.090384023,3530482.667403224,3700316.573273385,3878642.1744370544,
ppc,1.5,1.5039388875626643,1.5077094895668326,1.5113181590455245,1.5147710840451916,1.5180742848009077,1.5212336117834215,1.5242547445377888,1.5271431912374616,1.5299042888819845,1.532543204070734,
sales,18246075,19158378.75,20116297.6875,21122112.571875002,22178218.200468753,23287129.11049219,24451485.5660168,25674059.84431764,26957762.836533524,28305650.9783602,29720933.52727821,
costs,17269180,18132639.151724998,19039271.10931125,19991234.664776813,20990796.398015656,22040336.217916436,23142353.02881226,24299470.680252872,25514444.214265518,26790166.424978793,28129674.746227734,
