period,0,1,2,3,4,5,6,7,8,9,10,
products,3649215,3963047.49,4303869.57414,4674002.35751604,5075966.56026242,5512499.684444989,5986574.657307259,6501420.077835684,7060542.204529553,7667748.834119095,8327175.233853337,
clients,2432810,2551701.4247,2680817.5119241998,2821037.582649681,2973316.5794575536,3138691.569990903,3318288.809710121,3513331.412045191,3725147.678181078,3955180.143204651,4204995.400220251,
ppc,1.5,1.553100002860221,1.6054317591542546,1.656838032312192,1.7071732607728136,1.7563049957345653,1.804115012469404,1.8505000853452245,1.8953724293628778,1.9386598224338694,1.9803054323001574,
sales,18246075,19815237.450000003,21519347.8707,23370011.7875802,25379832.8013121,27562498.422224946,29932873.286536295,32507100.389178418,35302711.02264776,38338744.170595475,41635876.169266686,
costs,17269180,18754329.636927,20367201.985702723,22118781.356473155,24020996.553129848,26086802.256699022,28330267.25077514,30766670.234341804,33412603.874495197,36286087.80770179,39406691.35916415,
