period,0,1,2,3,4,5,6,7,8,9,10,
products,3649215,3838974.18,4038600.8373600002,4248608.080902721,4469535.701109663,4701951.5575673655,4946453.038560868,5203668.596566034,5474259.363587468,5758920.850494017,6058384.734719706,
clients,2432810,2478877.69016,2527340.9002083205,2578324.197179153,2631958.6255924692,2688382.044283278,2747739.4807460085,2810183.503904801,2875874.6162678506,2944981.666473779,3017682.2832904155,
ppc,1.5,1.5486743033909882,1.5979644206395391,1.6478176350169471,1.6981785570825774,1.7489893475392948,1.8001899645951556,1.851718433808839,1.9035111380104797,1.9555031245371226,2.0076284267122295,
sales,18246075,19194870.900000002,20193004.186800003,21243040.404513605,22347678.505548313,23509757.787836827,24732265.19280434,26018342.982830167,27371296.81793734,28794604.252470084,30291923.673598528,
costs,17269180,18167177.512014,19111870.74263873,20105688.021255948,21151183.798361257,22251045.355876043,23408099.714381594,24625320.89952944,25905837.586304974,27252941.140792836,28670094.080114063,
