period,0,1,2,3,4,5,6,7,8,9,10,
products,3649215,3835324.965,4030926.5382149997,4236503.791663964,4452565.485038826,4679646.324775806,4918308.287339372,5169142.009993679,5432768.252503356,5709839.433381027,6001041.244483459,
clients,2432810,2559375.723845,2692396.299606095,2832200.924731006,2979135.585737287,3133563.9144548886,3295868.0879370878,3466449.774266879,3645731.1265994897,3834155.8279010635,4032190.1889690175,
ppc,1.5,1.4985392450460993,1.497152012430241,1.4958344779392143,1.4945830281628116,1.4933942477410331,1.492264907488389,1.491191953325475,1.4901724959543856,1.4892038012202469,1.4882832811063045,
sales,18246075,19176624.825,20154632.691074997,21182518.95831982,22262827.42519413,23398231.62387903,24591541.436696857,25845710.049968395,27163841.26251678,28549197.166905135,30005206.222417295,
costs,17269180,18149908.331869498,19075553.656794842,20048406.893291377,21070875.644849233,22145490.302736547,23274910.308176108,24461930.733893085,25709489.20132163,27020673.150589034,28398727.481269073,
