period,0,1,2,3,4,5,6,7,8,9,10,
products,3649215,3835324.965,4030926.5382149997,4236503.791663964,4452565.485038826,4679646.324775806,4918308.287339372,5169142.009993679,5432768.252503356,5709839.433381027,6001041.244483459,
clients,2432810,2547869.74895,2668797.54509645,2795892.658846369,2929469.623397534,3069859.013140808,3217408.261760989,3372482.5220607994,3535465.5696359,3706760.752637331,3886791.9899718347,
ppc,1.5,1.5053065277691577,1.5103905298553932,1.5152598145209248,1.5199220532878712,1.524384769705761,1.5286553297552068,1.5327409337721363,1.5366486097792347,1.5403852081142602,1.5439573972485583,
sales,18246075,19176624.825,20154632.691074997,21182518.95831982,22262827.42519413,23398231.62387903,24591541.436696857,25845710.049968395,27163841.26251678,28549197.166905135,30005206.222417295,
costs,17269180,18149908.331869498,19075553.656794842,20048406.893291377,21070875.644849233,22145490.302736547,23274910.308176108,24461930.733893085,25709489.20132163,27020673.150589034,28398727.481269073,
