period,0,1,2,3,4,5,6,7,8,9,10,
products,3649215,3846272.6100000003,4053971.3309400007,4272885.782810761,4503621.6150825415,4746817.182296999,5003145.310141037,5273315.1568886535,5558074.175360641,5858210.180830116,6174553.530594943,
clients,2432810,2555890.72352,2685617.80611008,2822350.151160024,2966466.042842665,3118364.1926761693,3278464.8426006828,3447210.9276211197,3625069.30123266,3812532.027019224,4010117.7399982624,
ppc,1.5,1.504865828028388,1.5095116370306914,1.5139460215645273,1.5181773699883216,1.5222138560484486,1.526063432228918,1.5297338247090402,1.5332325297810685,1.5365668115869646,1.539743701040962,
sales,18246075,19231363.05,20269856.654700004,21364428.914053805,22518108.075412706,23734085.911484994,25015726.550705187,26366575.784443267,27790370.87680321,29291050.904150583,30872767.652974717,
costs,17269180,18201715.872303,19184608.529407363,20220577.389995363,21312488.56905511,22463362.951784085,23676384.55118043,24954909.316944174,26302474.420059163,27722808.03874236,29219839.67283445,
