period,0,1,2,3,4,5,6,7,8,9,10,
products,3649215,3868167.9000000004,4100257.9740000004,4346273.452440001,4607049.859586401,4883472.851161585,5176481.222231281,5487070.095565158,5816294.301299068,6165271.959377012,6535188.276939633,
clients,2432810,2556591.3728,2687799.6279680002,2826880.3784460803,2974305.973952845,3130577.105190016,3296224.5043014167,3471810.7473595017,3657932.165001072,3855220.8677011365,4064346.8925632047,
ppc,1.5,1.5130176613885506,1.5255073076633434,1.5374804981416024,1.548949536440477,1.5599273511154021,1.5704273830487634,1.5804634799688806,1.590049798339375,1.5992007127346135,1.6079307327082453,
sales,18246075,19340839.5,20501289.87,21731367.262200005,23035249.297932006,24417364.255807925,25882406.111156404,27435350.47782579,29081471.50649534,30826359.796885062,32675941.384698167,
costs,17269180,18305330.953169998,19403650.8103602,20567869.858981818,21801942.050520726,23110058.573551968,24496662.08796509,25966461.813242998,27524449.52203758,29175916.493359834,30926471.482961427,
